,Unnamed: 0,Year,Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,rates,MostSoldUSD
227,227,2014,Albania,44.3,51.7,51.7,All,200.0,0.00961,1.922
228,228,2014,Algeria,11.4,14.9,19.4,DZD,150.0,0.00733,1.0995
229,229,2014,Andorra,28.0,34.1,34.1,EUR,3.5,1.168889,4.0911115
230,230,2014,Austria,30.1,32.5,32.5,EUR,4.9,1.168889,5.727556100000001
231,231,2014,Belgium,24.2,25.9,25.9,EUR,5.79,1.168889,6.767867310000001
232,232,2014,Cyprus,30.7,37.6,37.6,EUR,4.0,1.168889,4.675556
233,233,2014,Estonia,29.3,32.4,32.4,EUR,3.5,1.168889,4.0911115
234,234,2014,Finland,18.9,21.3,21.3,EUR,5.47,1.168889,6.39382283
235,235,2014,France,31.5,34.6,34.6,EUR,7.0,1.168889,8.182223
236,236,2014,Germany,27.1,29.1,29.1,EUR,5.47,1.168889,6.39382283
237,237,2014,Greece,37.4,41.2,41.2,EUR,4.0,1.168889,4.675556
238,238,2014,Ireland,23.0,25.9,25.9,EUR,9.6,1.168889,11.2213344
239,239,2014,Italy,23.3,24.0,24.0,EUR,5.0,1.168889,5.844445
240,240,2014,Latvia,33.3,37.5,37.5,EUR,3.0,1.168889,3.506667
241,241,2014,Luxembourg,21.1,23.3,23.3,EUR,5.0,1.168889,5.844445
242,242,2014,Malta,23.8,26.8,26.8,EUR,4.8,1.168889,5.6106672
243,243,2014,Netherlands,21.5,25.1,25.1,EUR,6.32,1.168889,7.387378480000001
244,244,2014,Portugal,24.2,27.1,27.1,EUR,4.5,1.168889,5.2600005
245,245,2014,Slovakia,26.9,32.1,32.1,EUR,2.84,1.168889,3.31964476
246,246,2014,Slovenia,21.5,23.3,23.3,EUR,3.45,1.168889,4.032667050000001
247,247,2014,Spain,27.8,29.6,29.6,EUR,4.8,1.168889,5.6106672
248,248,2014,Argentina,21.9,24.2,25.6,ARS,14.5,0.010153,0.1472185
249,249,2014,Armenia,26.6,28.3,28.3,AMD,600.0,0.002035,1.221
250,250,2014,Australia,12.9,15.8,18.2,AUD,17.05,0.724257,12.34858185
251,251,2014,Kiribati,44.2,55.2,55.2,AUD,4.8,0.724257,3.4764336
252,252,2014,Tuvalu,32.2,39.4,51.4,AUD,2.5,0.724257,1.8106425
253,253,2014,Azerbaijan,16.8,21.1,21.1,AZN,1.4,0.588322,0.8236508
